Havainnon luotettavuus	Aineiston laatu	Taksonominen järjestys	Laji	Määrä	Aika	Maa	Eliömaakunta	Sijainti	Aineisto	Havaintoerän tunniste	Havainnoija(t)/Kerääjä(t)	Tieteellinen nimi	ETRS-TM35FIN N	ETRS-TM35FIN E	ETRS-TM35FIN N-min	ETRS-TM35FIN N-max	ETRS-TM35FIN E-min	ETRS-TM35FIN E-max	WGS84 WKT
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-11-24 [10:45]	Suomi	Varsinais-Suomi (V)	Rauma. Kodisjoki. Palomäki.	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330600	Jaakko Mäki-Jaakkola	Corvus corax	6776625	215478	6776624	6776625	215477	215478	POINT(21.731942 61.021389)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-11-23 [8:35-11:50]	Suomi	Etelä-Savo (ES)	Savitaipale, Keskusta, 1136 (678:353)	Talvilintulaskenta	http://tun.fi/JX.1330994	Jouko Sipari	Corvus corax	6784932	536703	6784245	6785618	535964	537441	GEOMETRYCOLLECTION(LINESTRING(27.681786 61.19419,27.680188 61.194216,27.679237 61.194086,27.677756 61.193573,27.676785 61.193344,27.676375 61.193346,27.675532 61.194768,27.67845 61.195579,27.678216 61.195922,27.679184 61.196832,27.680333 61.197517,27.683458 61.197538,27.684759 61.197495), LINESTRING(27.680913 61.191654,27.678926 61.191772,27.67688 61.191719,27.675228 61.190992,27.674823 61.191173,27.672932 61.191434,27.670437 61.191276,27.668971 61.191436,27.669616 61.192052,27.670686 61.192522,27.670952 61.192754,27.670121 61.193054,27.671599 61.19346,27.672819 61.19401,27.673144 61.19443,27.673642 61.195083,27.67423 61.195636,27.671813 61.195666,27.669623 61.195848,27.669919 61.196681,27.669712 61.197445,27.670923 61.198417,27.671044 61.198829,27.670998 61.199332,27.670938 61.199969,27.671001 61.200319,27.671139 61.200704,27.672586 61.20137,27.674045 61.201749,27.67484 61.20153,27.675878 61.201381,27.677078 61.200935,27.678058 61.200688,27.678783 61.200648,27.679624 61.20085,27.680039 61.201136,27.680171 61.201189,27.680588 61.201555,27.68082 61.201984,27.680821 61.202038,27.680391 61.202776,27.680491 61.203099,27.681088 61.203176,27.684334 61.201051,27.685404 61.201494,27.686696 61.201901,27.687305 61.201691,27.687763 61.201375,27.688586 61.200689,27.689389 61.200011,27.689869 61.199821,27.691001 61.199734,27.692229 61.199755,27.692734 61.199869,27.693226 61.200252,27.693811 61.200635,27.694153 61.200947,27.694535 61.201403,27.694722 61.201483,27.694802 61.200881,27.694792 61.200442,27.694616 61.200048,27.69471 61.199248,27.695343 61.198437,27.696721 61.197668,27.696289 61.197463,27.695416 61.197522,27.694027 61.197753,27.693101 61.197973,27.691401 61.19844,27.690494 61.198642,27.688904 61.199072,27.687536 61.199491,27.686762 61.198948,27.68567 61.198316,27.684759 61.197495,27.684895 61.196911,27.685496 61.195481,27.684659 61.195432,27.684646 61.194857,27.683875 61.194439,27.683864 61.193973,27.68321 61.193814,27.681786 61.19419,27.680391 61.19242,27.681097 61.191528))
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	2	2021-11-22 [8:45]	Suomi	Satakunta (St)	Rauma. Lappi. Murtamo.	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330284	Jaakko Mäki-Jaakkola	Corvus corax	6789441	212297	6789440	6789441	212296	212297	POINT(21.653992 61.133641)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	3	2021-11-21 [8:35-11:45]	Suomi	Etelä-Karjala (EK)	Kouvola, Sippola - Hevoshaan arboretum, 4192	Talvilintulaskenta	http://tun.fi/JX.1330289	Eetu Paljakka	Corvus corax	6734766	499327	6733926	6735605	498772	499882	LINESTRING(26.99042 60.749916,26.989201 60.750547,26.987778 60.750679,26.985955 60.751841,26.984969 60.752783,26.986464 60.752902,26.990208 60.753647,26.990712 60.753782,26.991737 60.753838,26.993032 60.753497,26.993445 60.753302,26.995467 60.753351,26.99672 60.753184,26.99783 60.753128,26.997702 60.753929,26.997189 60.754513,26.996477 60.755112,26.995723 60.755941,26.994961 60.755952,26.993238 60.755785,26.992 60.755298,26.990747 60.755242,26.987572 60.755269,26.986476 60.755074,26.985892 60.75458,26.985166 60.753647,26.984608 60.7529,26.985704 60.7518,26.983495 60.751808,26.982883 60.751738,26.982185 60.75148,26.981958 60.75116,26.98193 60.750721,26.982001 60.749969,26.98178 60.749312,26.98131 60.748964,26.980997 60.748246,26.981095 60.747165,26.981593 60.746407,26.982019 60.745352,26.981749 60.74453,26.981832 60.744271,26.982145 60.743993,26.981448 60.743192,26.980679 60.742976,26.978835 60.742406,26.977782 60.742231,26.977483 60.741988,26.97774 60.74173,26.978637 60.741507,26.979932 60.741145,26.980833 60.740878,26.98173 60.741017,26.983224 60.741651,26.983523 60.741971,26.981885 60.743023,26.982194 60.743175,26.984244 60.743516,26.98376 60.743857,26.98235 60.744129,26.982535 60.744609,26.98326 60.745182,26.984625 60.746568,26.985439 60.747091,26.985837 60.747634,26.987773 60.748588,26.988832 60.749385,26.989629 60.749712,26.990198 60.749782)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-11-21 [8:45]	Suomi	Uusimaa (U)	Keijumäki 30 min	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330389	Terho Poutanen	Corvus corax	6674353	378038	6674251	6674454	377975	378100	POLYGON((24.800601 60.188683,24.801462 60.18849,24.801683 60.188413,24.801412 60.187878,24.801443 60.18769,24.801736 60.187353,24.801372 60.187141,24.800391 60.187241,24.79993 60.187126,24.799788 60.186827,24.799896 60.187098,24.79961 60.187606,24.799957 60.1878,24.800322 60.188543,24.800601 60.188683))
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-11-21	Suomi	Varsinais-Suomi (V)	Latokartanonkoski	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330081	M. Leppä	Corvus corax	6671982	287169	6671155	6672809	286038	288300	POLYGON((23.148465 60.121263,23.148465 60.137259,23.187357 60.137259,23.187357 60.121263,23.148465 60.121263))
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	6	2021-11-20 [8:20-12:00]	Suomi	Etelä-Karjala (EK)	Kouvola, Turpaa-Keisarinkoski, 4159 (674:350)	Talvilintulaskenta	http://tun.fi/JX.1329986	Eetu Paljakka	Corvus corax	6737604	507054	6735750	6739458	506325	507783	LINESTRING(27.126682 60.757447,27.125004 60.757498,27.122671 60.761801,27.120801 60.764315,27.124093 60.766145,27.11904 60.770516,27.117666 60.777267,27.122709 60.777622,27.120297 60.77897,27.1203 60.779856,27.117659 60.783126,27.116055 60.788635,27.120341 60.790469,27.124501 60.788988,27.13075 60.789179,27.132254 60.787388,27.134994 60.783937,27.142694 60.782995,27.142959 60.782256,27.135584 60.777502,27.132107 60.773802,27.130534 60.771874,27.132232 60.768392,27.127389 60.76563,27.129422 60.762065,27.13353 60.760044,27.13238 60.757911,27.130456 60.757209,27.128679 60.75767,27.127337 60.757589)
COMMUNITY_VERIFIED	AMATEUR	54126	korppi — Corvus corax		2021-11-20	Suomi	Etelä-Häme (EH)	18300 Heinola, Suomi	Lajitietokeskus/FinBIF - iNaturalist Suomi Finland	http://tun.fi/HR.3211/101645512	Jouko Lampinen	Corvus corax	6782730	459805	6782729	6782730	459804	459805	POINT(26.25264 61.17697)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax		2021-11-20	Suomi	Etelä-Häme (EH)	Särkijärvi	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330083	Erkka Laine, Sanni Kokkoniemi, Jani Virtanen	Corvus corax	6889769	413973	6889740	6889798	413878	414068	LINESTRING(25.348812 62.130261,25.348577 62.129914,25.349875 62.129823,25.351234 62.130029,25.352194 62.1301,25.350555 62.130389,25.348786 62.130273)
NEUTRAL	HOBBYIST	54126	korppi — Corvus corax	1	2021-11-20	Suomi	Varsinais-Suomi (V)	Fregattikatu 3	Lajitietokeskus/FinBIF - Vihkon yleiset havainnot	http://tun.fi/JX.1330020	Seppo Kallio	Corvus corax	6708699	235920	6708684	6708714	235895	235944	POLYGON((22.200130034343 60.427788538692,22.200181689478 60.427808393327,22.200102072157 60.4280393864,22.200941728419 60.428083189233,22.200702613491 60.427854183096,22.200130034343 60.427788538692))
